proto,packets_count,total_fiat,f_pkts_num,min_fiat,min_biat,flow_packets_per_second,f_min_pkt_size,f_max_pkt_size,b_min_pkt_size,diag_step_fiat,diag_step_biat,diag_steps,tcp_syn_count,tcp_ack_count,tcp_rst_count,tcp_fin_count,tcp_urg_count,tcp_retr_count,pktiat_0,pktiat_1,pktiat_2,pktiat_7,pktiat_9,pktlen_1,pktlen_5,pktlen_6,pktlen_7,pktlen_8,pktlen_9,type
6,10,0.0128500461578369,4,0.0006420612335205,1.0013580322265623e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.0037741661071777344,0.00020194053649902344,0.00012302398681640625,0.0035331249237060547,66,66,461,66,146,66,0
6,10,0.2479069232940673,5,0.0002968311309814,1.2874603271484377e-05,0,66,734,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.003471851348876953,0.00010395050048828125,1.2874603271484375e-05,0.2401409149169922,66,66,393,128,66,164,0
6,10,0.0122621059417724,4,0.0005509853363037,2.5033950805664062e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.00405120849609375,0.00034880638122558594,0.00015783309936523438,0.004138946533203125,66,66,461,66,146,66,0
6,10,0.4353680610656738,5,0.0031321048736572,2.813339233398437e-05,0,66,735,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.0039980411529541016,0.00045013427734375,0.0001049041748046875,0.42344093322753906,66,66,393,128,66,164,0
6,10,0.0048880577087402,5,0.0001270771026611,2.002716064453125e-05,0,66,973,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.003826141357421875,0.00015687942504882812,0.003158092498779297,2.002716064453125e-05,66,164,973,66,393,128,0
6,10,0.2001121044158935,5,0.0016219615936279,6.008148193359375e-05,0,66,734,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.0038590431213378906,0.00014090538024902344,0.0001068115234375,0.19049906730651855,66,66,393,128,66,164,0
6,10,0.2294299602508545,5,0.0003430843353271,1.5974044799804688e-05,0,66,734,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.003726959228515625,0.00015211105346679688,1.5974044799804688e-05,0.22014188766479492,66,66,393,128,66,164,0
6,10,0.0121128559112548,5,0.0001161098480224,2.09808349609375e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.003930807113647461,0.00015497207641601562,0.0003018379211425781,0.007184028625488281,66,66,66,461,66,146,0
6,10,0.1835291385650634,5,0.0012760162353515,2.5987625122070312e-05,0,66,734,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.003589153289794922,0.000164031982421875,2.5987625122070312e-05,0.17230796813964844,66,66,393,128,66,164,0
6,10,0.0078601837158203,4,0.0005459785461425,1.9073486328125e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.0040130615234375,0.00027298927307128906,0.00021982192993164062,0.0037260055541992188,66,66,461,66,146,66,0
6,10,0.0122549533843994,4,0.000554084777832,1.5020370483398438e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.004040956497192383,0.0002601146697998047,0.0002238750457763672,0.0037870407104492188,66,66,461,66,146,66,0
6,10,0.2036018371582031,5,0.0003530979156494,1.0967254638671877e-05,0,66,734,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.0037050247192382812,0.0001838207244873047,1.0967254638671875e-05,0.19464492797851562,66,66,393,128,66,164,0
6,10,0.1668558120727539,5,0.0003628730773925,5.316734313964844e-05,0,66,734,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.0037050247192382812,0.00015592575073242188,5.316734313964844e-05,0.15871596336364746,66,66,393,128,66,164,0
6,10,0.0090630054473876,4,0.0007770061492919,9.059906005859377e-06,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.003849029541015625,0.0002989768981933594,0.00021386146545410156,0.0038869380950927734,66,66,461,66,146,66,0
6,10,0.1986989974975586,5,0.000349998474121,2.5033950805664062e-05,0,66,734,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.0038161277770996094,0.0001289844512939453,2.5033950805664062e-05,0.19033193588256836,66,66,393,128,66,164,0
6,10,0.0112698078155517,5,0.000162124633789,2.694129943847656e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.0037539005279541016,0.00017309188842773438,0.0005238056182861328,0.006367921829223633,66,1368,66,461,66,146,0
6,10,0.0052580833435058,4,8.702278137207031e-05,1.1920928955078123e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.004310131072998047,4.1961669921875e-05,8.702278137207031e-05,0.00014090538024902344,66,1366,66,66,461,66,0
6,10,0.1675469875335693,5,0.0006821155548095,1.6927719116210938e-05,0,66,734,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.0038340091705322266,0.0001571178436279297,1.6927719116210938e-05,0.1564328670501709,66,66,393,128,66,164,0
6,10,0.0110969543457031,4,0.0005688667297363,1.0013580322265623e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.00400090217590332,0.0003459453582763672,0.00023984909057617188,0.003863096237182617,66,66,461,66,146,66,0
6,10,0.0053207874298095,4,2.408027648925781e-05,1.0013580322265623e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.004105806350708008,4.00543212890625e-05,2.4080276489257812e-05,0.00029778480529785156,66,1366,66,66,461,66,0
6,10,0.1849391460418701,5,0.0020768642425537,1.4066696166992188e-05,0,66,734,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.004266977310180664,5.793571472167969e-05,1.4066696166992188e-05,0.1739790439605713,66,66,393,128,66,164,0
6,10,0.007714033126831,5,3.504753112792969e-05,1.3828277587890623e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.0035219192504882812,0.00033092498779296875,0.00044608116149902344,0.0029790401458740234,66,66,66,461,66,146,0
